tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
8949925,K02972.01,PC,2454974.178,13.2511214,4.996,266.5,1.98,1.217,5850.0,4.297,15.085,0.9975333926534649,1
3765917,K04526.01,PC,2454989.7026,30.5392931,6.887,428.2,2.72,1.328,5803.0,4.211,15.271,0.9973820211016939,2
8949925,K02972.02,PC,2454971.8086,42.0292298,8.499,373.7,2.33,1.217,5850.0,4.297,15.085,0.996062233113069,3
3765917,K04526.02,PC,2454965.51,11.8187288,4.017,249.0,2.09,1.328,5803.0,4.211,15.271,0.9959952308465533,4
10656508,K00211.01,PC,2454969.015098,124.03589939,4.8472,7690.0,11.13,1.28,5822.0,4.244,14.989,0.9959449495895963,5
6776555,K05327.01,PC,2454969.711,5.43361347,1.0338,1421.0,2.09,0.566,3694.0,4.686,15.808,0.9950270627003048,6
5621333,K03341.01,PC,2454972.3521,27.0965146,8.42,208.4,2.13,1.352,5775.0,4.193,14.886,0.9948206663077399,7
5629353,K06132.03,PC,2454975.985,11.867172,4.815,595.6,4.03,1.651,6264.0,4.133,14.624,0.9947911312406823,8
9347899,K00935.04,PC,2454975.47479,9.61731426,3.8692,234.0,1.94,1.257,6035.0,4.22,15.237,0.9945947101982139,9
7602351,K06892.01,PC,2454981.6715,17.5806026,4.17,138.8,1.87,1.358,5839.0,4.199,14.989,0.9943577645950866,10
6607286,K01239.02,PC,2455190.05776,3.17405898,2.3156,282.2,2.09,1.233,5640.0,4.247,15.005,0.9941543910529974,11
3648437,K01861.01,PC,2454968.74731,17.50441726,4.2585,725.4,3.56,1.329,5815.0,4.16,13.926,0.9941142713907729,12
9896018,K02579.03,PC,2454967.88185,10.30148508,3.903,162.7,1.6,1.235,5887.0,4.292,15.147,0.9940681521813491,13
7835312,K06164.01,PC,2454967.7234,29.5126153,6.314,188.2,1.84,1.351,5746.0,4.189,15.334,0.9940275112946237,14
2449431,K02009.01,PC,2455003.29281,86.7490807,9.179,547.1,2.23,0.97,5579.0,4.419,13.82,0.9939790706762034,15
6871071,K02220.04,PC,2454970.38342,7.66462913,3.614,114.1,1.6,1.515,5640.0,4.087,14.686,0.9937970590805068,16
3557560,K04456.01,PC,2454971.7701,7.4299322,4.013,164.9,1.81,1.252,5635.0,4.23,15.128,0.993533043767418,17
6665860,K04840.01,PC,2454969.2877,10.4716194,4.512,123.9,1.74,1.574,5812.0,4.083,14.486,0.993386741142357,18
4242147,K01934.01,PC,2454965.3189,28.78270955,3.451,864.5,2.11,0.745,4774.0,4.58,14.649,0.9932729190105343,19
4947556,K03936.01,PC,2455023.27633,141.608555,7.685,1263.1,2.98,0.844,5083.0,4.512,13.336,0.993160741804084,20
9664276,K03460.01,PC,2455018.9931,62.596544,11.477,223.1,2.25,1.509,5934.0,4.173,14.451,0.9926113685338658,21
5193659,K03323.01,PC,2454967.16323,14.3196417,3.781,215.5,2.06,1.373,5562.0,4.151,15.076,0.9924136904356878,22
9427402,K01397.01,PC,2455189.90972,6.247030799,1.4848,1496.6,1.89,0.487,3821.0,4.764,15.369,0.9919965505376169,23
11905398,K05940.01,PC,2454964.91,24.7967294,4.278,970.5,3.14,0.776,5496.0,4.592,15.627,0.9919058643060624,24
10928043,K01315.01,PC,2454966.76181,6.84639884,3.4919,149.7,1.9,1.31,6065.0,4.251,13.137,0.9918195914157825,25
1432789,K00992.02,PC,2454965.2982,4.57834367,3.987,140.7,1.44,1.22,5782.0,4.28,15.214,0.9917001470618523,26
3101923,K03483.01,PC,2454966.0814,82.331756,8.664,283.2,2.08,1.242,5997.0,4.304,14.872,0.9915668096590323,27
11520459,K02226.01,PC,2454967.35341,8.46354384,1.4078,792.2,2.51,0.887,5427.0,4.495,15.338,0.9915030415668288,28
3558849,K04307.01,PC,2454977.5039,160.850075,9.427,428.1,3.41,1.507,5999.0,4.168,14.218,0.9897796655497305,29
9008220,K00466.01,PC,2455003.539799,9.391039263,2.8386,2895.6,11.73,1.498,5944.0,4.132,14.663,0.9896797673594793,30
3425851,K00268.01,PC,2455008.9317,110.3783828,12.211,489.8,3.02,1.359,6342.0,4.242,10.56,0.9895361067167137,31
4471747,K01656.01,PC,2454978.3192,51.3901452,5.995,494.0,3.62,1.292,6074.0,4.284,15.03,0.9894666878892399,32
4951877,K00501.01,PC,2455003.32595,24.7962801,8.33,574.4,2.7,1.141,5770.0,4.333,14.612,0.9894135619486427,33
8158429,K05482.01,PC,2454971.2539898,31.707574649,7.6771,787.3,2.96,0.865,5861.0,4.546,15.197,0.9887544588366816,34
4939265,K06475.01,PC,2454967.94868,4.84505985,2.078,298.4,1.54,0.714,4337.0,4.581,13.731,0.9880177152632105,35
5511659,K04541.01,PC,2454968.74043,8.5291223,3.241,325.4,2.08,1.111,5543.0,4.318,15.377,0.9879193458230429,36
11570749,K01856.01,PC,2454988.80223,46.2991052,5.2481,854.9,4.33,1.507,5396.0,4.035,14.082,0.9878122690976171,37
7289338,K03420.02,PC,2454975.55934,12.5014905,3.882,220.1,2.24,1.492,5821.0,4.127,15.589,0.9874450169255492,38
5956656,K01053.02,PC,2454969.47891,46.245164,5.663,492.1,2.46,1.107,5553.0,4.32,15.376,0.9873871478098184,39
12208631,K02449.01,PC,2454971.38498,53.3580444,6.812,736.1,3.41,1.036,5481.0,4.369,15.114,0.9873320976257127,40
6523351,K03117.01,PC,2454969.14365,6.06664931,1.962,65.3,0.87,0.892,5569.0,4.521,13.163,0.9872007794542452,41
5511659,K04541.02,PC,2454981.4127,17.236085,4.209,330.0,1.98,1.111,5543.0,4.318,15.377,0.9871166868819597,42
3539231,K04626.01,PC,2455016.0248,91.95723,10.471,308.4,2.66,1.528,5854.0,4.114,14.876,0.9870137931178726,43
8811490,K04811.01,PC,2454981.935,21.7434141,8.143,154.8,2.23,1.497,5767.0,4.082,13.816,0.9867173886454204,44
3752110,K03142.01,PC,2454969.8697,27.9430245,6.125,308.6,2.21,1.25,6468.0,4.363,15.243,0.9866594984819206,45
3348216,K03448.01,PC,2454969.62491,32.510844,3.254,361.9,2.62,1.358,6074.0,4.244,14.863,0.9864753239020487,46
4645174,K03437.02,PC,2454991.68412,34.7496038,4.548,227.1,3.51,1.601,5849.0,4.076,14.606,0.9863476711201105,47
8176564,K02720.01,PC,2454965.74598,6.57159435,3.1044,65.7,1.26,1.432,6042.0,4.139,10.338,0.9863022687577208,48
9966219,K03401.01,PC,2454972.0347,17.9559673,6.237,137.0,1.96,1.195,5641.0,4.258,14.388,0.9859717588693341,49
9782748,K04856.01,PC,2455007.6537,147.388124,8.781,909.2,3.03,1.007,6046.0,4.478,15.817,0.98591944126381,50
10028792,K01574.04,PC,2454966.44748,8.9772888,4.72,97.5,1.79,1.699,5597.0,3.963,14.6,0.985832938691793,51
9099773,K07133.01,PC,2454974.3871,82.78482,7.52,190.4,2.16,1.48,5749.0,4.123,14.909,0.9857364461731908,52
4274548,K01331.01,PC,2455192.17999,6.80082032,1.9883,699.9,1.88,0.688,4805.0,4.633,15.238,0.9854761176445224,53
9935642,K04885.01,PC,2454971.11016,9.33955596,2.058,245.1,2.67,1.101,5516.0,4.308,15.03,0.9854669760849101,54
6103377,K03004.02,PC,2454970.41892,7.03965141,3.141,268.7,2.72,1.513,5902.0,4.128,14.935,0.9850909592972952,55
8313667,K01145.01,PC,2454995.8842,30.5872153,5.3698,464.8,2.32,1.082,5944.0,4.38,14.143,0.9850722621576627,56
10875007,K04149.01,PC,2454973.15819,9.54699216,5.063,143.0,1.71,1.232,6274.0,4.357,14.718,0.9846800452541454,57
4172746,K02531.01,PC,2454973.94958,17.6997392,2.76,752.7,1.96,0.742,4807.0,4.583,15.44,0.9846778400254564,58
8581240,K03111.01,PC,2454971.50669,10.76800074,3.494,65.1,0.92,1.096,5874.0,4.338,12.863,0.984581295183697,59
5629353,K06132.01,PC,2454983.0494,33.3200908,6.5265,6186.9,13.0,1.651,6264.0,4.133,14.624,0.9840697473595285,60
5131180,K00641.01,PC,2455010.9987,14.85185526,3.5263,1341.0,2.73,0.652,4129.0,4.636,13.583,0.9840410127395298,61
8934103,K04009.02,PC,2455023.1476,77.792718,6.08,287.9,2.17,1.241,5497.0,4.243,15.245,0.9838145314860648,62
6679295,K02862.01,PC,2454977.18324,24.5752524,2.258,1003.4,1.64,0.512,3678.0,4.755,15.907,0.9837928939154407,63
10073672,K02764.01,PC,2454965.23957,2.252976718,1.7131,467.9,1.19,0.559,4039.0,4.708,15.794,0.9836515302477917,64
9202151,K01393.01,PC,2455188.357543,1.694740233,1.6864,1446.8,2.12,0.527,3764.0,4.739,15.804,0.9832651983089791,65
4164922,K03864.02,PC,2454967.44527,18.2572722,3.434,157.5,0.94,0.756,5014.0,4.559,12.914,0.9832263621410732,66
5881813,K02744.02,PC,2454964.96843,11.615625,2.233,191.2,2.84,1.453,5332.0,4.083,15.162,0.9829030141638354,67
3554031,K01194.02,PC,2455187.57297,14.8623076,3.161,840.0,1.57,0.554,4362.0,4.722,15.842,0.9825516302209191,68
7918652,K02984.01,PC,2454969.32524,11.45541896,4.95,68.6,1.12,1.356,6231.0,4.276,13.066,0.9825302867839342,69
7834045,K04630.01,PC,2454988.6611,44.6966177,10.532,257.3,2.46,1.518,5929.0,4.123,14.875,0.982516132819243,70
8631160,K01271.01,PC,2455111.880573,162.0479502,9.8974,4840.5,11.52,1.567,6309.0,4.16,13.632,0.9822843962573852,71
4844470,K03469.01,PC,2454967.57461,60.532988,7.086,467.5,1.91,0.847,5631.0,4.557,14.196,0.9822223825037172,72
5087223,K06513.01,PC,2454965.74702,5.62241111,1.185,464.1,1.17,0.541,3894.0,4.71,15.627,0.9813943894259463,73
6705026,K03374.02,PC,2454991.431,34.1086562,6.405,133.8,1.95,1.668,6144.0,4.106,14.44,0.9811868089828755,74
7289338,K03420.01,PC,2454967.51434,5.77451117,3.752,156.3,1.87,1.492,5821.0,4.127,15.589,0.9808628621426647,75
6862328,K00865.01,PC,2455055.236492,119.0207044,8.1405,7430.5,8.98,1.062,5453.0,4.342,15.085,0.9808505532709468,76
8125917,K05479.01,PC,2454978.001,18.347081,2.825,1126.6,5.65,1.702,5465.0,3.968,14.261,0.9808308660354762,77
8261920,K02174.01,PC,2454970.70324,6.69332825,2.311,781.8,2.44,0.637,4245.0,4.641,15.673,0.9806788834565762,78
9995771,K03470.01,PC,2454973.1111,15.0617835,6.31,196.6,1.61,1.158,5806.0,4.321,15.386,0.9796374303894829,79
11253711,K01972.01,PC,2454982.25344,17.79108667,2.662,414.2,2.88,1.34,5855.0,4.148,13.8,0.979569246931103,80
6665064,K06751.01,PC,2454977.9693,24.996068,5.623,621.7,2.4,0.956,5761.0,4.492,15.183,0.9792339873674089,81
