tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
16288184,1049.01,TOI-1049.01,1049,16288184.01,1,KP,11.0657,0.006,-0.006,1,0,16h55m04.52s,253.768848,,,,-28d42m38.1s,-28.710584,,,,-8.568,0.1,-0.1,1,0,-5.562,0.055,-0.055,1,0,2459363.821393,0.000699,-0.000699,1,0,2.1805277,2.7e-06,-2.7e-06,1,0,2.969175,0.040721,-0.040721,1,0,16340.1353205,426.89557,-426.89557,1,0,16.808853,0.8821375,-0.8821375,1,0,1770.4650539,,,,,1654.404068,,,,,314.995,7.0655,-7.0655,1,0,6599.0,200.0,-200.0,1,0,4.21017,1.96411,-1.96411,1,0,1.2714601,0.0635578,-0.0635578,1,0,,2019-07-15 19:20:04,2022-03-30 16:02:02,2025-09-28 22:48:44
144065872,105.01,TOI-105.01,105,144065872.01,1,KP,9.4995,0.006,-0.006,1,0,22h29m49.88s,337.457824,,,,-48d00m11.16s,-48.003099,,,,91.976,0.052,-0.052,1,0,-6.861,0.069,-0.069,1,0,2459084.58501,0.00011,-0.00011,1,0,2.1846669,5e-07,-5e-07,1,0,2.86528,0.0090748,-0.0090748,1,0,11708.0228549,34.928566,-34.928566,1,0,13.7028527,0.6619751,-0.6619751,1,0,1362.1381428,,,,,1549.4409801,,,,,137.544,0.7905,-0.7905,1,0,5630.0,,,1,0,4.37759,,,1,0,1.23824,0.0596985,-0.0596985,1,0,,2018-09-05 18:49:20,2025-03-25 16:00:01,2025-09-28 22:48:44
66818296,1050.01,TOI-1050.01,1050,66818296.01,1,KP,11.0261,0.006,-0.006,1,0,15h59m50.94s,239.962248,,,,-28d03m42.46s,-28.061794,,,,-8.1,0.102,-0.102,1,0,-9.639,0.055,-0.055,1,0,2459355.54563,0.000257,-0.000257,1,0,3.7354838,2.1e-06,-2.1e-06,1,0,4.142,0.045,-0.045,1,0,17030.0,0.271732,-0.271732,1,0,21.2315,1.19579,-1.19579,1,0,1292.19,,,,,1670.0,,,,,405.908,8.6,-8.6,1,0,6650.0,,,1,0,4.1639,,,1,0,1.57,0.09,-0.09,1,0,,2019-07-15 19:20:05,2022-10-05 10:10:01,2025-09-28 22:48:44
259863352,1051.01,TOI-1051.01,1051,259863352.01,1,FA,7.1278,0.006,-0.006,1,0,02h41m27.83s,40.365939,,,,-71d27m45.9s,-71.462749,,,,168.17,2.0,-2.0,1,0,-56.04,2.0,-2.0,1,0,2458657.736625,0.007425,-0.007425,1,0,21.701669,0.0095323,-0.0095323,1,0,8.2676424,0.5088978,-0.5088978,1,0,211.6567325,25.132692,-25.132692,1,0,2.3751494,0.6983451,-0.6983451,1,0,52.095,,,,,685.2,,,,,53.19149,,,1,0,5625.0,80.0,-80.0,1,0,4.438,,,1,0,1.56486,0.186629,-0.186629,1,0,,2019-08-16 20:20:45,2024-09-17 10:08:02,2025-09-28 22:48:44
317060587,1052.01,TOI-1052.01,1052,317060587.01,1,CP,9.0197,0.006,-0.006,1,0,22h30m02.47s,337.510274,,,,-75d38m47.62s,-75.646561,,,,-63.327,0.046,-0.046,1,0,-1.942,0.044,-0.044,1,0,2458332.941229,0.002642,-0.002642,1,0,9.139804,0.0001109,-0.0001109,1,0,3.0912936,0.6627002,-0.6627002,1,0,358.4157801,33.721474,-33.721474,1,0,3.0629855,2.8175755,-2.8175755,1,0,243.011763,,,,,1006.9932829,,,,,129.804,0.5575,-0.5575,1,0,5958.2,76.0,-76.0,1,0,4.34,0.12,-0.12,1,0,1.58,0.165123,-0.165123,1,0,,2019-08-16 20:20:47,2023-07-24 12:03:31,2025-09-28 22:48:44
112395568,1053.01,TOI-1053.01,1053,112395568.01,1,FP,8.8849,0.006,-0.006,1,0,19h23m54.51s,290.977117,,,,-33d21m05.1s,-33.351416,,,,-18.692,0.065,-0.065,1,0,-8.192,0.059,-0.059,1,0,2458657.999179,0.001553,-0.001553,1,0,5.742625,0.000621,-0.000621,1,0,2.860293,0.230499,-0.230499,1,0,1105.760867,87.92673,-87.92673,1,0,13.088532,3.636668,-3.636668,1,0,,,,,,,,,,,263.729,2.8735,-2.8735,1,0,5664.0,188.0,-188.0,1,0,3.26574,0.355261,-0.355261,1,0,3.86959,0.644568,-0.644568,1,0,,2019-08-16 20:20:42,2024-09-19 10:08:01,2025-09-28 22:48:44
366989877,1054.01,TOI-1054.01,1054,366989877.01,1,CP,8.4362,0.006,-0.006,1,0,20h08m27.4s,302.114174,,,,-54d19m03s,-54.317501,,,,1.594,0.054,-0.054,1,0,-15.903,0.049,-0.049,1,0,2460122.700139,0.019948,-0.019948,1,0,15.5077855,0.0002372,-0.0002372,1,0,4.565,0.427,-0.427,1,0,513.0,25.4443,-25.4443,1,0,2.43432,0.142957,-0.142957,1,0,88.0718,,,,,853.0,,,,,88.4343,0.28175,-0.28175,1,0,6122.0,194.0,-194.0,1,0,4.30881,0.268555,-0.268555,1,0,1.17,0.05,-0.05,1,0,,2019-08-16 20:20:48,2023-09-14 16:02:01,2025-09-28 22:48:44
320004517,1055.01,TOI-1055.01,1055,320004517.01,1,CP,8.0888,0.006,-0.006,1,0,19h33m08.79s,293.286615,,,,-54d31m57.82s,-54.532728,,,,108.439,0.074,-0.074,1,0,-82.632,0.052,-0.052,1,0,2458661.062711,0.000867,-0.000867,1,0,17.4713078,1.76e-05,-1.76e-05,1,0,4.4284819,0.0990118,-0.0990118,1,0,1199.7541483,28.872627,-28.872627,1,0,3.5766828,0.2409907,-0.2409907,1,0,53.3700317,,,,,689.3568807,,,,,57.2651,0.18695,-0.18695,1,0,5783.54,7.82429,-7.82429,1,0,4.49925,0.019231,-0.019231,1,0,0.974669,0.0546984,-0.0546984,1,0,,2019-08-16 20:20:47,2024-10-01 10:08:01,2025-09-28 22:48:44
421894914,1056.01,TOI-1056.01,1056,421894914.01,1,PC,9.6663,0.006,-0.006,1,0,22h37m02.09s,339.258703,,,,-76d55m03.38s,-76.917605,,,,9.716,0.041,-0.041,1,0,-20.168,0.044,-0.044,1,0,2458326.062424,0.001997,-0.001997,1,0,5.3079507,1.91e-05,-1.91e-05,1,0,3.2158594,0.2920944,-0.2920944,1,0,391.3830934,26.766296,-26.766296,1,0,3.0486928,0.3630359,-0.3630359,1,0,603.2401116,,,,,1263.9861129,,,,,168.354,0.6765,-0.6765,1,0,6124.3,83.0,-83.0,1,0,4.38,0.16,-0.16,1,0,1.36963,0.0633668,-0.0633668,1,0,,2019-08-16 20:20:50,2024-03-14 16:54:32,2025-09-28 22:48:44
323132914,1057.01,TOI-1057.01,1057,323132914.01,1,PC,9.4091,0.006,-0.006,1,0,08h31m59.26s,127.996917,,,,-78d24m27.23s,-78.407564,,,,117.721,0.081,-0.081,1,0,-24.565,0.076,-0.076,1,0,2458607.350901,0.00308,-0.00308,1,0,51.1701501,0.0001962,-0.0001962,1,0,6.6641048,0.2877187,-0.2877187,1,0,851.4547808,36.121876,-36.121876,1,0,2.9366826,0.26575,-0.26575,1,0,11.2148229,,,,,466.7322968,,,,,98.2855,0.26725,-0.26725,1,0,5599.0,187.0,-187.0,1,0,4.46138,0.26998,-0.26998,1,0,0.943356,0.0456583,-0.0456583,1,0,,2019-08-16 20:20:47,2024-12-05 16:02:02,2025-09-28 22:48:44
